Current Residence,Birth District,Migration Status
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,2.0,0
2.0,2.0,0
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,1.0,1
2.0,1.0,1
2.0,nan,1
2.0,2.0,0
2.0,1.0,1
2.0,nan,1
2.0,nan,1
2.0,nan,1
2.0,1.0,1
2.0,2.0,0
2.0,nan,1
